2025-10-27 20:39:03,488 | INFO | Extracting data from url..
2025-10-27 20:39:04,919 | INFO | Extracting successful..
2025-10-27 20:39:04,921 | INFO | Transforming data..
2025-10-27 20:39:04,921 | INFO | Load data to database..
2025-10-27 20:39:05,023 | INFO | Load success..

2025-10-27 20:40:02,623 | INFO | Extracting data from url..
2025-10-27 20:40:04,027 | INFO | Extracting successful..
2025-10-27 20:40:04,028 | INFO | Transforming data..
2025-10-27 20:40:04,028 | INFO | Load data to database..
2025-10-27 20:40:04,064 | INFO | Load success..

2025-10-27 20:41:03,235 | INFO | Extracting data from url..
2025-10-27 20:41:05,273 | INFO | Extracting successful..
2025-10-27 20:41:05,274 | INFO | Transforming data..
2025-10-27 20:41:05,274 | INFO | Load data to database..
2025-10-27 20:41:05,315 | INFO | Load success..

2025-10-27 20:42:02,879 | INFO | Extracting data from url..
2025-10-27 20:42:04,135 | INFO | Extracting successful..
2025-10-27 20:42:04,136 | INFO | Transforming data..
2025-10-27 20:42:04,136 | INFO | Load data to database..
2025-10-27 20:42:04,175 | INFO | Load success..

2025-10-27 20:43:02,712 | INFO | Extracting data from url..
2025-10-27 20:43:04,119 | INFO | Extracting successful..
2025-10-27 20:43:04,120 | INFO | Transforming data..
2025-10-27 20:43:04,120 | INFO | Load data to database..
2025-10-27 20:43:04,152 | INFO | Load success..

2025-10-27 20:44:03,415 | INFO | Extracting data from url..
2025-10-27 20:44:05,034 | INFO | Extracting successful..
2025-10-27 20:44:05,037 | INFO | Transforming data..
2025-10-27 20:44:05,038 | INFO | Load data to database..
2025-10-27 20:44:05,093 | INFO | Load success..

2025-10-27 20:45:02,892 | INFO | Extracting data from url..
2025-10-27 20:45:05,050 | INFO | Extracting successful..
2025-10-27 20:45:05,051 | INFO | Transforming data..
2025-10-27 20:45:05,052 | INFO | Load data to database..
2025-10-27 20:45:05,097 | INFO | Load success..

2025-10-27 20:46:02,760 | INFO | Extracting data from url..
2025-10-27 20:46:04,106 | INFO | Extracting successful..
2025-10-27 20:46:04,109 | INFO | Transforming data..
2025-10-27 20:46:04,109 | INFO | Load data to database..
2025-10-27 20:46:04,261 | INFO | Load success..

2025-10-27 20:47:03,189 | INFO | Extracting data from url..
2025-10-27 20:47:04,552 | INFO | Extracting successful..
2025-10-27 20:47:04,553 | INFO | Transforming data..
2025-10-27 20:47:04,553 | INFO | Load data to database..
2025-10-27 20:47:04,586 | INFO | Load success..

2025-10-27 20:48:03,083 | INFO | Extracting data from url..
2025-10-27 20:48:04,784 | INFO | Extracting successful..
2025-10-27 20:48:04,785 | INFO | Transforming data..
2025-10-27 20:48:04,785 | INFO | Load data to database..
2025-10-27 20:48:04,816 | INFO | Load success..

2025-10-27 20:49:03,621 | INFO | Extracting data from url..
2025-10-27 20:49:06,293 | INFO | Extracting successful..
2025-10-27 20:49:06,296 | INFO | Transforming data..
2025-10-27 20:49:06,296 | INFO | Load data to database..
2025-10-27 20:49:06,415 | INFO | Load success..

2025-10-27 20:50:05,215 | INFO | Extracting data from url..
2025-10-27 20:50:06,591 | INFO | Extracting successful..
2025-10-27 20:50:06,596 | INFO | Transforming data..
2025-10-27 20:50:06,597 | INFO | Load data to database..
2025-10-27 20:50:06,797 | INFO | Load success..

2025-10-27 20:51:03,302 | INFO | Extracting data from url..
2025-10-27 20:51:04,636 | INFO | Extracting successful..
2025-10-27 20:51:04,637 | INFO | Transforming data..
2025-10-27 20:51:04,638 | INFO | Load data to database..
2025-10-27 20:51:04,687 | INFO | Load success..

2025-10-27 20:52:02,970 | INFO | Extracting data from url..
2025-10-27 20:52:04,366 | INFO | Extracting successful..
2025-10-27 20:52:04,368 | INFO | Transforming data..
2025-10-27 20:52:04,368 | INFO | Load data to database..
2025-10-27 20:52:04,399 | INFO | Load success..

2025-10-27 20:53:02,980 | INFO | Extracting data from url..
2025-10-27 20:53:04,123 | INFO | Extracting successful..
2025-10-27 20:53:04,125 | INFO | Transforming data..
2025-10-27 20:53:04,125 | INFO | Load data to database..
2025-10-27 20:53:04,162 | INFO | Load success..

2025-10-27 20:54:02,571 | INFO | Extracting data from url..
2025-10-27 20:54:03,889 | INFO | Extracting successful..
2025-10-27 20:54:03,890 | INFO | Transforming data..
2025-10-27 20:54:03,890 | INFO | Load data to database..
2025-10-27 20:54:03,931 | INFO | Load success..

2025-10-27 20:55:02,740 | INFO | Extracting data from url..
2025-10-27 20:55:04,130 | INFO | Extracting successful..
2025-10-27 20:55:04,132 | INFO | Transforming data..
2025-10-27 20:55:04,133 | INFO | Load data to database..
2025-10-27 20:55:04,179 | INFO | Load success..

